x,y
301.2477722167969,-593.898681640625
304.5443420410156,-594.0682373046875
307.79302978515625,-594.5175170898438
310.4850769042969,-595.2064819335938
312.5198669433594,-595.931396484375
314.53240966796875,-596.9112548828125
316.257568359375,-597.891357421875
318.3285217285156,-598.8329467773438
320.3082275390625,-599.3005981445312
322.267333984375,-599.6644897460938
324.2454528808594,-600.0033569335938
326.64190673828125,-600.5526733398438
329.3922119140625,-601.099853515625
331.8513488769531,-601.1882934570312
334.4451599121094,-601.0669555664062
337.2295227050781,-600.96484375
340.0269775390625,-600.9998168945312
342.7838134765625,-601.1725463867188
346.1398010253906,-601.562744140625
349.2331237792969,-602.1195678710938
352.61651611328125,-603.0114135742188
355.770263671875,-604.138427734375
359.1221008300781,-605.5374755859375
362.5623779296875,-607.0977783203125
365.7610778808594,-608.6664428710938
369.03472900390625,-610.3251342773438
372.69818115234375,-612.2144775390625
376.3807678222656,-614.16943359375
379.6435546875,-615.9261474609375
383.467529296875,-617.998046875
387.50897216796875,-620.1921997070312
391.0516357421875,-622.1165161132812
394.5920104980469,-624.0401000976562
398.5422058105469,-626.1864013671875
402.6007080078125,-628.3920288085938
406.6858215332031,-630.5281982421875
410.3323669433594,-632.0607299804688
414.694091796875,-633.4862060546875
418.43450927734375,-634.2911987304688
422.0292053222656,-634.6500854492188
425.3908996582031,-634.6618041992188
428.3689270019531,-634.6119995117188
430.8815002441406,-634.5284423828125
433.0021667480469,-634.427978515625
434.7571105957031,-634.3221435546875
436.5995178222656,-634.206298828125
438.77008056640625,-634.0693359375
440.955810546875,-633.9317626953125
443.28369140625,-633.7857055664062
445.7405700683594,-633.6319580078125
448.3271484375,-633.4705200195312
451.0169372558594,-633.3028564453125
453.60595703125,-633.141845703125
456.4982604980469,-632.9622802734375
459.5408020019531,-632.773681640625
462.69482421875,-632.5785522460938
465.61962890625,-632.28369140625
468.794677734375,-631.612548828125
472.4239807128906,-630.5847778320312
475.76409912109375,-629.5274047851562
479.1544494628906,-628.425048828125
482.26678466796875,-627.2405395507812
485.87554931640625,-625.689697265625
489.5083923339844,-623.8505859375
493.1772155761719,-621.8421020507812
496.5301818847656,-619.9484252929688
500.4766540527344,-617.6751708984375
503.82415771484375,-615.5374755859375
507.1761474609375,-613.2147216796875
510.8741149902344,-610.25830078125
514.1624145507812,-607.3716430664062
517.44921875,-604.3510131835938
520.4151611328125,-601.5621948242188
524.0555419921875,-598.0144653320312
527.4158325195312,-594.6488037109375
530.650634765625,-591.0191040039062
533.4373779296875,-587.4820556640625
536.1254272460938,-583.58251953125
538.9500122070312,-578.9804077148438
541.2239990234375,-574.5806274414062
542.9515991210938,-570.4358520507812
544.3919067382812,-565.9779052734375
545.5224609375,-561.2750854492188
546.4150390625,-556.4415283203125
547.2744140625,-550.8239135742188
547.765869140625,-546.1549682617188
547.9750366210938,-541.0064086914062
547.7880859375,-536.4197998046875
547.2955932617188,-532.84228515625
546.5392456054688,-529.3604125976562
545.5839233398438,-526.0606689453125
544.5332641601562,-522.7630004882812
543.4300537109375,-519.39306640625
542.3550415039062,-516.1240844726562
541.0439453125,-512.1318359375
539.6806640625,-507.9719543457031
538.5381469726562,-504.4814453125
537.3589477539062,-500.8758850097656
535.8907470703125,-496.45849609375
534.4480590820312,-492.7164611816406
532.6991577148438,-488.7593688964844
530.6962890625,-484.6968994140625
528.586669921875,-480.6502685546875
526.3857421875,-476.5041198730469
524.1148071289062,-472.3717346191406
521.5217895507812,-468.17999267578125
518.615478515625,-463.9158935546875
515.588134765625,-459.7183837890625
512.5443725585938,-455.5823974609375
509.397216796875,-451.3274841308594
506.1131591796875,-447.17877197265625
502.4446105957031,-443.0036926269531
498.3681945800781,-438.9306640625
493.9407958984375,-435.0306396484375
489.2457275390625,-431.2991943359375
483.8348083496094,-427.2244567871094
478.2322692871094,-423.0626525878906
472.6004638671875,-419.09033203125
466.6755676269531,-415.4358215332031
460.10650634765625,-412.03753662109375
453.565185546875,-409.2452392578125
446.92816162109375,-406.9704895019531
440.1882019042969,-405.1135559082031
433.51995849609375,-403.4195556640625
427.39959716796875,-401.8092346191406
421.2655334472656,-400.1476745605469
414.81829833984375,-398.4167785644531
406.8594970703125,-396.33306884765625
400.5184326171875,-394.6990051269531
394.03173828125,-393.03704833984375
387.3609619140625,-391.33038330078125
380.707763671875,-389.6273498535156
373.9789123535156,-387.903076171875
367.13568115234375,-386.1471862792969
360.4860534667969,-384.4388732910156
352.40948486328125,-382.3613586425781
345.5202331542969,-380.5870666503906
338.57464599609375,-378.79638671875
331.3634948730469,-376.9351806640625
322.86627197265625,-374.7394714355469
314.4466857910156,-372.56109619140625
307.146484375,-370.6701354980469
298.4759216308594,-368.421630859375
290.0347595214844,-366.22979736328125
281.74017333984375,-364.07330322265625
273.2712707519531,-361.8299865722656
265.2251892089844,-359.6293029785156
257.2414855957031,-357.35748291015625
249.83546447753906,-355.01214599609375
242.80645751953125,-352.4525451660156
236.20716857910156,-349.64691162109375
230.0609130859375,-346.6465148925781
224.1307373046875,-343.6729736328125
218.6532745361328,-340.9497985839844
213.12057495117188,-338.4067077636719
206.91909790039062,-335.6037292480469
202.33197021484375,-333.4798889160156
196.9232177734375,-330.9070129394531
190.46229553222656,-327.7795715332031
185.037353515625,-325.1337890625
179.48468017578125,-322.3987121582031
173.61996459960938,-319.3310241699219
167.78646850585938,-316.0813903808594
162.04347229003906,-312.73602294921875
156.42955017089844,-309.3957214355469
150.8532257080078,-305.90863037109375
145.2182159423828,-301.98529052734375
139.9506072998047,-297.7787780761719
135.16209411621094,-293.4111022949219
131.0358428955078,-289.05914306640625
127.16795349121094,-284.2096862792969
123.85564422607422,-279.2230224609375
121.02137756347656,-274.1511535644531
118.35865783691406,-268.7795715332031
115.86698913574219,-263.45623779296875
113.3842544555664,-258.2957458496094
110.92951965332031,-253.3969268798828
108.55963897705078,-248.85931396484375
106.38167572021484,-244.8179168701172
104.38396453857422,-241.1926727294922
102.37517547607422,-237.56393432617188
100.38927459716797,-233.95225524902344
98.38768005371094,-230.13172912597656
96.55435180664062,-226.44122314453125
95.12422943115234,-223.4247589111328
93.52017974853516,-219.7689208984375
91.92674255371094,-215.9651641845703
90.6539535522461,-212.6591033935547
89.33573150634766,-208.56015014648438
88.22444152832031,-204.04505920410156
87.36018371582031,-198.674072265625
86.81438446044922,-193.81871032714844
86.4961929321289,-188.62655639648438
86.43968200683594,-183.66574096679688
86.73529815673828,-177.96240234375
87.20305633544922,-172.95761108398438
87.82826232910156,-167.63197326660156
88.63265228271484,-162.06333923339844
89.6001968383789,-156.59149169921875
91.02677154541016,-150.95303344726562
92.95108032226562,-145.391845703125
95.46267700195312,-139.8118133544922
98.37030792236328,-134.47483825683594
101.01041412353516,-130.0770721435547
104.32286834716797,-124.73395538330078
107.74609375,-119.33109283447266
111.721435546875,-113.86062622070312
115.25821685791016,-109.69081115722656
119.62100219726562,-105.27864074707031
124.01678466796875,-101.52337646484375
128.38648986816406,-98.32892608642578
132.952880859375,-95.4020004272461
137.56248474121094,-92.92822265625
141.49530029296875,-91.12452697753906
146.99075317382812,-88.9552001953125
151.8669891357422,-87.11865997314453
156.96299743652344,-85.13211059570312
161.34475708007812,-83.35972595214844
167.09893798828125,-80.98551940917969
172.37852478027344,-78.83445739746094
177.70437622070312,-77.06105041503906
183.47415161132812,-75.6391830444336
189.31466674804688,-74.71513366699219
194.76890563964844,-74.26732635498047
199.974609375,-74.14619445800781
205.01165771484375,-74.2724838256836
210.0096893310547,-74.76117706298828
214.88589477539062,-75.5426254272461
220.3430938720703,-76.66753387451172
225.93679809570312,-77.82977294921875
231.8382110595703,-78.9892349243164
236.85995483398438,-79.93818664550781
242.3252410888672,-80.80817413330078
247.5589599609375,-81.4404067993164
253.7040557861328,-81.97063446044922
259.1992492675781,-82.34423828125
264.90155029296875,-82.69609069824219
270.7198181152344,-83.04563903808594
277.3948059082031,-83.4474105834961
283.8916015625,-83.8415298461914
289.2888488769531,-84.15253448486328
294.6127014160156,-84.43018341064453
299.64532470703125,-84.66358184814453
305.44073486328125,-84.90845489501953
310.97247314453125,-84.99878692626953
315.9100036621094,-84.93128967285156
321.78985595703125,-84.67459869384766
327.8326416015625,-84.14498901367188
333.85247802734375,-83.38169860839844
340.00152587890625,-82.3927230834961
345.4072265625,-81.40969848632812
351.7535095214844,-80.16071319580078
358.21295166015625,-78.55967712402344
364.5256652832031,-76.58141326904297
370.7239685058594,-74.17897033691406
376.9833984375,-71.34137725830078
